WARNING: src/mem.v:15: $readmemh(testset_nop.hex): Not enough words in the file for the requested range [0:4095].
tick 077 : rst=0 DECODE OPC=I_ORi    SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 078 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 079 : rst=0 DECODE OPC=R_XOR    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=b SRC_SR=0
tick 080 : rst=0 DECODE OPC=R_XOR    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=c SRC_SR=0
tick 081 : rst=0 DECODE OPC=I_XORi   SGN_EN=0 IMM_EN=1 IMM_VAL=0ff IMMSR_VAL=00 CC=RA TGT_GP=1 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 082 : rst=0 DECODE OPC=I_XORi   SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 083 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=d TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 084 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 085 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 086 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 087 : rst=0 DECODE OPC=R_SHL    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=d SRC_SR=0
tick 088 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=020 IMMSR_VAL=00 CC=RA TGT_GP=e TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 089 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 090 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 091 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 092 : rst=0 DECODE OPC=R_SHL    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=e SRC_SR=0
